STATE,ST_CASE,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,DRUNK_DR
1,10111,2,125,0,16,3,2015,2,22,55,4,CR-CARROLLTON RD,,0,33.25796389,-87.8056,0,23,6,23,26,0,5,1
1,10112,1,93,0,21,3,2015,7,1,45,3,SR-253,,48,33.98633611,-87.85301389,0,1,54,2,0,88,88,0
1,10113,2,73,0,4,4,2015,7,20,15,1,I-65,,2730,33.687975,-86.83011389,0,88,88,88,88,88,88,0
1,10114,2,3,860,1,4,2015,4,22,49,1,I-10,,370,30.66108056,-87.87046944,0,99,99,23,5,99,99,1
1,10115,1,127,0,27,3,2015,6,23,28,1,I-22,,489,33.900625,-87.46942778,0,99,99,23,56,99,99,0
1,10116,3,35,0,14,3,2015,7,21,7,1,I-65,,767,31.26938889,-87.21400556,0,99,99,21,25,99,99,0
1,10117,5,3,0,11,3,2015,4,19,30,1,I-65,,433,31.00395,-87.67861667,0,99,99,19,50,99,99,0
1,10118,2,103,890,8,3,2015,1,4,34,3,SR-67,,390,34.56162222,-86.97040556,0,99,99,4,46,99,99,1
1,10119,2,125,0,1,3,2015,1,20,5,2,US-SR 6,,384,33.26156389,-87.70531111,0,99,99,20,20,99,99,0
1,10120,2,115,160,3,3,2015,3,13,27,2,US-SR 53,,2380,33.84600556,-86.27015,0,99,99,13,32,99,99,0
1,10121,3,51,3270,8,3,2015,1,14,15,3,SR-170,,2,32.54603889,-86.18844444,0,99,99,14,30,99,99,0
1,10122,1,1,0,10,3,2015,3,11,50,4,CR-81,,0,32.50412778,-86.57332778,0,99,99,11,55,88,88,0
1,10123,3,43,0,16,3,2015,2,7,55,4,CR-1435,CR-1301,0,34.22031111,-86.82949444,0,99,99,8,7,99,99,0
1,10124,1,89,1970,16,3,2015,2,10,4,6,MADISON BLVD,QUARRY RD,0,34.67851667,-86.74731667,0,99,99,10,9,99,99,0
1,10125,4,113,0,17,3,2015,3,15,6,4,CR-OSWICHEE RD,,0,32.26903333,-85.01148611,0,99,99,15,19,99,99,0
1,10126,2,31,0,19,3,2015,5,12,0,3,SR-134,,212,31.31268333,-85.92972222,0,99,99,12,17,88,88,0
1,10127,5,31,0,20,3,2015,6,21,30,3,SR-167,CR-114,390,31.48936944,-85.91373056,0,99,99,21,56,99,99,0
1,10128,1,63,1213,20,3,2015,6,21,45,4,CR-41,,0,32.65625,-87.87543889,0,88,88,88,88,88,88,0
1,10129,3,49,2564,24,3,2015,3,7,15,6,MAIN ST,DEKALB DR,0,34.49746111,-85.85248056,0,99,99,7,16,99,99,0
1,10130,3,97,2100,24,3,2015,3,8,20,2,US-SR 16,,270,30.69029167,-88.02360278,0,99,99,8,27,99,99,0
